POM code,Internal id,Point of measure,Điểm đo,cm,inch,ml,Tol (mm),Method,Tape,Landmark source,Status,Notes
BODY_BUST_POINT_HEIGHT,BODY_BUST_POINT_HEIGHT,Bust point height above the mesh origin,,133.0,"52 3/8""",,1.0,landmark_height,,auto,diagnostic,"Not a garment POM. Reported because it anchors every other reading, and because the mesh has no feet, so it cannot be expressed as a height above the floor."
DIAG_MAX_TORSO_GIRTH,DIAG_MAX_TORSO_GIRTH,Largest torso girth found,,102.4,"40 3/8""",,,plane_section,convex_hull,auto,diagnostic,Diagnostic only. Shows how far the largest girth drifts from the apex level; a large gap means the bust definition matters for this body.

"NOT MEASURED — stated, not omitted"
POM code,Internal id,Point of measure,Điểm đo,cm,inch,ml,Tol (mm),Method,Tape,Landmark source,Status,Notes
BODY_HPS_TO_APEX_L,BODY_HPS_TO_APEX_L,HPS to apex (left),,,,,1.0,surface_path,shortest_surface_path / loose_body,,blocked_until_manual,"No HPS landmark can be detected on this mesh. The head is cut off at the neck, so there is no neck-base curve to reference. A 'highest point outboard of the neck' rule was tried and rejected: it returns whatever sits on its own inner cutoff — 35mm gives x=-37.4mm/y=1593.1mm, 45mm gives -45.2/1589.2, 90mm gives -95.9/1534.9 — a 58mm spread in height driven by a parameter with no anatomical basis. That is false precision, so no automatic value is produced."
BODY_HPS_TO_APEX_R,BODY_HPS_TO_APEX_R,HPS to apex (right),,,,,1.0,surface_path,shortest_surface_path / loose_body,,blocked_until_manual,"No HPS landmark can be detected on this mesh. The head is cut off at the neck, so there is no neck-base curve to reference. A 'highest point outboard of the neck' rule was tried and rejected: it returns whatever sits on its own inner cutoff — 35mm gives x=-37.4mm/y=1593.1mm, 45mm gives -45.2/1589.2, 90mm gives -95.9/1534.9 — a 58mm spread in height driven by a parameter with no anatomical basis. That is false precision, so no automatic value is produced."
BREAST_ROOT_ARC_L,BREAST_ROOT_ARC_L,"Breast root arc, wire length (left)","Chiều dài chân gọng, trái",,,,1.0,surface_path,shortest_surface_path / loose_body,,blocked_until_manual,"The breast root is a design decision as much as a geometric fact: where a wire sits at the inner and outer ends is chosen by the TD, not read off the mesh. Only the bottom of the root is derived automatically (the fold section directly below the apex). Place ROOT_INNER and ROOT_OUTER for the side you need and the arc becomes measurable. Inner end to bottom to outer end, along the surface; the sum is the wire length."
BREAST_ROOT_ARC_R,BREAST_ROOT_ARC_R,"Breast root arc, wire length (right)","Chiều dài chân gọng, phải",,,,1.0,surface_path,shortest_surface_path / loose_body,,blocked_until_manual,"The breast root is a design decision as much as a geometric fact: where a wire sits at the inner and outer ends is chosen by the TD, not read off the mesh. Only the bottom of the root is derived automatically (the fold section directly below the apex). Place ROOT_INNER and ROOT_OUTER for the side you need and the arc becomes measurable. Inner end to bottom to outer end, along the surface; the sum is the wire length."
CUP_VOLUME_L,CUP_VOLUME_L,Cup volume (left),"Thể tích cup, trái",,,,,enclosed_volume_closed,,,blocked_until_manual,"Cup volume is measured inside a CLOSED root loop: inner -> bottom -> outer -> top -> inner, each leg a shortest surface path. The loop is a design decision, so three of its four points are placed by hand; the bottom is derived. Place ROOT_INNER, ROOT_OUTER and ROOT_TOP for the side you need. SENSITIVITY, measured: moving ROOT_TOP by ±15mm swings this value from 192.9ml to 271.2ml — about ±18%. The routine itself is accurate to 0.064% against analytic spherical caps, so the number is dominated by WHERE the root loop is placed, not by the maths. Whoever places the loop owns the result; record the loop with the value."
CUP_VOLUME_R,CUP_VOLUME_R,Cup volume (right),"Thể tích cup, phải",,,,,enclosed_volume_closed,,,blocked_until_manual,"Cup volume is measured inside a CLOSED root loop: inner -> bottom -> outer -> top -> inner, each leg a shortest surface path. The loop is a design decision, so three of its four points are placed by hand; the bottom is derived. Place ROOT_INNER, ROOT_OUTER and ROOT_TOP for the side you need. SENSITIVITY, measured: moving ROOT_TOP by ±15mm swings this value from 192.9ml to 271.2ml — about ±18%. The routine itself is accurate to 0.064% against analytic spherical caps, so the number is dominated by WHERE the root loop is placed, not by the maths. Whoever places the loop owns the result; record the loop with the value."
BODY_ACROSS_BACK,BODY_ACROSS_BACK,Across back,,,,,,surface_path,,,blocked,"Crosses the armpit. The torso surface is open above y=1.39m because the arms are a separate surface meeting it at the armhole, so a section there is not a closed loop. Needs a stitched measurement surface or a free geodesic."
BODY_HIP_GIRTH,BODY_HIP_GIRTH,Hip girth,,,,,,plane_section,,,blocked,The mesh ends at y=0.995m. There is no hip geometry to measure; this needs an avatar exported with legs.
